"rank","film","country_of_origin","weekend_gross","distributor","percent_change_on_last_week","weeks_on_release","number_of_cinemas","site_average","total_gross_to_date","weekend_sunday"
88,"Gwen","UK","442","Bulldog Film Distribution",NA,4,2,221,29708,2019-08-11
90,"Tolkien","UK/USA","437","20th Century Fox",2.4140625,15,1,437,1788488,2019-08-11
91,"Yuli: The Carlos Acosta Story - ROH Live 2019 (Ballet)","UK","434","Modern Films",NA,18,1,434,207306,2019-08-11
92,"Of Fish And Foe","UK","420","Off The Hook Distribution",0.36807818,3,2,210,3072,2019-08-11
99,"Kind Hearts & Coronets: 70th Anniversary (4K Restoration)","UK","167","StudioCanal",NA,10,1,167,33972,2019-08-11
100,"Making Noise Quietly","UK","161","Verve",-0.7333887,4,1,161,3725,2019-08-11
104,"Balance, Not Symmetry","UK","133","Pinpoint/Munro",-0.98949862,2,3,44,13533,2019-08-11
105,"A Clockwork Orange, (Re: 2019)","UK/USA","133","BFI",NA,19,1,133,137449,2019-08-11
109,"The Edge","UK","80","Noah Media/Shear Entertainment",NA,4,1,80,35928,2019-08-11
110,"Liam Gallagher: As It Was","UK","66","Altitude",NA,10,1,66,395644,2019-08-11
1,"Once Upon A Time In Hollywood","USA/Chn","7544445","Sony Pictures",NA,1,663,11379,7544445,2019-08-18
2,"The Lion King","UK/USA","2486795","Disney",-0.43079217,5,691,3599,65977991,2019-08-18
3,"Fast & Furious: Hobbs & Shaw","UK/USA","1435377","Universal",-0.51158266,3,569,2523,16259367,2019-08-18
4,"Dora & The Lost City Of Gold","USA","1165865","Paramount",NA,1,547,2131,1166520,2019-08-18
5,"Toy Story 4","USA","1023453","Disney",-0.37257672,9,601,1703,61239938,2019-08-18
6,"Good Boys","USA","844169","Universal",NA,1,474,1781,844169,2019-08-18
7,"Blinded By The Light","UK/USA","422799","eOne Films",-0.56285929,2,543,779,2019537,2019-08-18
8,"Angry Birds 2","USA","415614","Sony Pictures",-0.39651965,3,565,736,3456735,2019-08-18
9,"Spider-Man: Far From Home","UK/USA","386817","Sony Pictures",-0.47036618,7,364,1063,35535758,2019-08-18
10,"Casino Royale (Secret Cinema 2019)","UK/USA/Cze","345761","Independent",-0.01389487,11,1,345761,5609175,2019-08-18
11,"Uglydolls","USA/Chn","266074","STX Entertainment",NA,1,437,609,266074,2019-08-18
12,"Mission Mangal","Ind","217717","20th Century Fox",NA,1,85,2561,217717,2019-08-18
13,"Yesterday","UK","156354","Universal",-0.56628451,8,249,628,13195949,2019-08-18
14,"The Secret Life of Pets 2","USA","127029","Universal",2.78284616,13,302,421,19256595,2019-08-18
15,"Playmobil","Fra/Ger","115721","StudioCanal",-0.69247348,2,481,241,862767,2019-08-18
16,"Horrible Histories: The Movie - Rotten Romans","UK","115153","Altitude",-0.4360608,4,248,464,2384599,2019-08-18
19,"Aladdin","UK/USA","53240","Disney",-0.41538191,13,118,451,36710978,2019-08-18
20,"Batla House","Ind","37197","Cinestaan AA Distributors",NA,1,33,1127,37197,2019-08-18
22,"Comali","Ind","27223","Sun Media",NA,1,16,1701,27223,2019-08-18
23,"Transit","Ger/Fra","25830","Curzon",NA,1,19,1359,25830,2019-08-18
28,"Animals","UK/Aus/Ire","16681","Picture House Entertainment",-0.71180028,3,47,355,293197,2019-08-18
31,"Leto","Rus/Fra","12647","MUBI",NA,1,7,1807,12647,2019-08-18
34,"Rocketman","UK/USA","9240","Paramount",-0.41221374,13,9,1027,23268989,2019-08-18
37,"Pavarotti","UK/USA/Fra/Ita","7547","eOne Films",-0.48286967,5,15,503,633431,2019-08-18
39,"Gaza","UK","6819","Wildcard",-0.65881117,2,10,682,36961,2019-08-18
40,"Vita and Virginia","UK/Ire","5867","Thunderbird",0.02749562,7,11,533,208671,2019-08-18
44,"The Lehman Trilogy - NT Live 2019 (Theatre)","UK","4403","National Theatre",-0.80376644,5,7,629,843682,2019-08-18
46,"Evaru","Ind","4191","Ksquare Entertainments",NA,1,10,419,4191,2019-08-18
49,"Take That - Greatest Hits Live (Concert)","UK","3818","CinemaLive",4.81126332,11,4,955,2083218,2019-08-18
56,"Small Island - NT Live 2019 (Theatre)","UK","2084","National Theatre",0.07670455,9,1,2085,827486,2019-08-18
57,"Avengers: Endgame","UK/USA","2063","Disney",-0.76546157,17,4,516,88688477,2019-08-18
59,"Only You","UK/Swe","1945","Curzon",0.93147964,6,6,324,76582,2019-08-18
60,"Diego Maradona","UK","1872","Altitude",-0.62820258,10,5,374,966936,2019-08-18
62,"Don't Look Now (4K Restoration)","UK/Ita","1865","StudioCanal",0.67414722,7,2,933,44591,2019-08-18
65,"JT LeRoy","USA/Can","1389","Signature Entertainment",NA,1,3,463,1389,2019-08-18
66,"Gwen","UK","1353","Bulldog Film Distribution",2.06108597,5,2,677,31727,2019-08-18
67,"Dumbo","UK/USA","1071","Disney",-0.70100503,21,23,47,25134510,2019-08-18
68,"Fisherman's Friends","UK","1019","Entertainment",0.81155556,23,1,1019,7425659,2019-08-18
70,"Sometimes Always Never","UK","980","Parkland Entertainment",-0.66276669,10,2,490,344853,2019-08-18
71,"The Mikado - English National Opera 2015 (Opera)","UK","943","Altive Media",-0.57288366,195,1,944,530991,2019-08-18
72,"Wild Rose","UK","912","eOne Films",-0.26332795,19,2,456,2916176,2019-08-18
75,"In Fabric","UK","775","Curzon",0.26633987,8,2,388,114838,2019-08-18
81,"Ranarangam","Ind","420","Sailing Stones",NA,1,2,210,420,2019-08-18
83,"A Clockwork Orange, (Re: 2019)","UK/USA","387","BFI",1.90977444,20,1,387,138027,2019-08-18
85,"Tell It to the Bees","UK","326","Vertigo",-0.76099707,5,1,326,40189,2019-08-18
88,"Men In Black International","UK/USA","210","Sony Pictures",0.18531073,10,1,210,6698931,2019-08-18
89,"Kind Hearts & Coronets: 70th Anniversary (4K Restoration)","UK","201","StudioCanal",0.20359281,11,1,201,34331,2019-08-18
90,"Making Noise Quietly","UK","167","Verve",0.04049844,5,1,167,4200,2019-08-18
92,"The Flood","UK","131","Curzon",NA,9,1,131,7186,2019-08-18
97,"Balance, Not Symmetry","UK","82","Pinpoint/Munro",-0.38345865,3,1,82,13811,2019-08-18
98,"Of Fish And Foe","UK","41","Off The Hook Distribution",-0.90238095,4,1,41,3477,2019-08-18
100,"Are You Proud?","UK","9","Peccadillo",-0.99004425,4,1,9,7083,2019-08-18
1,"Angel Has Fallen","UK/USA","2122408","Lionsgate",NA,1,537,3952,2122408,2019-08-25
2,"Once Upon A Time In Hollywood","USA/Chn","2109591","Sony Pictures",-0.72095678,2,695,3035,12736799,2019-08-25
3,"The Lion King","UK/USA","1093891","Disney",-0.56179348,6,686,1595,69064201,2019-08-25
4,"Fast & Furious: Hobbs & Shaw","UK/USA","634421","Universal",-0.55881128,4,475,1336,17849035,2019-08-25
5,"Scary Stories To Tell In The Dark","USA/Can","611218","eOne Films",NA,1,418,1462,611218,2019-08-25
6,"Dora & The Lost City Of Gold","USA","488100","Paramount",-0.5812529,2,602,811,2673130,2019-08-25
7,"Crawl","USA","458796","Paramount",NA,1,483,950,458796,2019-08-25
8,"Toy Story 4","USA","448391","Disney",-0.56351585,10,589,761,62536622,2019-08-25
9,"Good Boys","USA","346495","Universal",-0.5902692,2,445,779,1872605,2019-08-25
10,"Casino Royale (Secret Cinema 2019)","UK/USA/Cze","323291","Independent",-0.06498709,12,1,323291,6095745,2019-08-25
11,"Pain And Glory","Esp","307131","20th Century Fox",NA,1,125,2457,307131,2019-08-25
12,"Spider-Man: Far From Home","UK/USA","196533","Sony Pictures",-0.49333454,8,310,634,36055090,2019-08-25
13,"Angry Birds 2","USA","189920","Sony Pictures",-0.54535008,4,518,367,4052229,2019-08-25
14,"Blinded By The Light","UK/USA","149433","eOne Films",-0.64918043,3,337,443,2529391,2019-08-25
15,"Uglydolls","USA/Chn","99327","STX Entertainment",-0.62722087,2,437,227,614203,2019-08-25
17,"Yesterday","UK","64222","Universal",-0.59371679,9,194,331,13390923,2019-08-25
19,"Horrible Histories: The Movie - Rotten Romans","UK","47384","Altitude",-0.58906937,5,231,205,2549994,2019-08-25
23,"Aladdin","UK/USA","23502","Disney",-0.56122697,14,95,247,36784329,2019-08-25
24,"Hail Satan?","USA","17239","Dogwoof",NA,1,23,750,17239,2019-08-25
25,"Naukar Vahuti Da","Ind","16864","Rising Star Entertainment",NA,1,18,937,16864,2019-08-25
30,"It (Re: 2019)","USA","9242","Warner Bros",NA,1,94,98,9242,2019-08-25
33,"Horrid Henry On The Big Screen","UK","8494","Vue Entertainment",NA,1,85,100,8494,2019-08-25
35,"The Lehman Trilogy - NT Live 2019 (Theatre)","UK","7548","National Theatre",0.47393087,6,6,1258,859564,2019-08-25
37,"Rocketman","UK/USA","6441","Paramount",-0.36259278,14,8,805,23286377,2019-08-25
39,"Animals","UK/Aus/Ire","5365","Picture House Entertainment",-0.67972061,4,16,335,315658,2019-08-25
40,"Westlife - The Twenty Tour Live","UK","5283","CinemaLive",NA,8,12,440,948570,2019-08-25
42,"Never Grow Old","Ire/Bel/Fra","5031","Altitude/Wildcard",NA,1,10,503,5031,2019-08-25
47,"Gaza","UK","3304","Wildcard",-0.51547148,3,8,413,47789,2019-08-25
49,"Pavarotti","UK/USA/Fra/Ita","2767","eOne Films",-0.63336425,6,16,173,649042,2019-08-25
50,"Berliner Philharmoniker Live: Season Opening Concert (Concert)","Ger","2730","More2Screen",NA,1,12,228,2730,2019-08-25
53,"Princess Emmy","Ger","1970","Kaleidoscope",NA,1,87,23,1970,2019-08-25
56,"Mitti: Virasat Babbaran Di","Ind","1431","B4U Movies",NA,1,9,159,1431,2019-08-25
60,"Dumbo","UK/USA","1279","Disney",0.19421102,22,12,107,25136890,2019-08-25
62,"Only You","UK/Swe","1058","Curzon",-0.45604113,7,5,212,79854,2019-08-25
65,"Astro Kid","Fra","963","Signature Entertainment",NA,1,26,37,963,2019-08-25
70,"A Clockwork Orange, (Re: 2019)","UK/USA","710","BFI",0.83462532,21,1,710,138737,2019-08-25
73,"Avengers: Endgame","UK/USA","659","Disney",-0.68056229,18,3,220,88690743,2019-08-25
74,"Measure For Measure - RSC Live 2019 (Theatre)","UK","627","Trafalgar",-0.55021521,5,1,627,309479,2019-08-25
77,"The Mikado - English National Opera 2015 (Opera)","UK","541","Altive Media",-0.81623641,196,1,541,546409,2019-08-25
78,"Tell It to the Bees","UK","490","Vertigo",0.50306748,6,2,245,41940,2019-08-25
82,"Wild Rose","UK","398","eOne Films",-0.56359649,20,2,199,2918588,2019-08-25
84,"Sometimes Always Never","UK","332","Parkland Entertainment",-0.66122449,11,1,332,347786,2019-08-25
85,"Don't Look Now (4K Restoration)","UK/Ita","310","StudioCanal",-0.83378016,8,1,310,47208,2019-08-25
88,"Vita and Virginia","UK/Ire","241","Thunderbird",-0.95892279,8,1,241,214044,2019-08-25
91,"The Cure - Anniversary 1978-2018 Live in Hyde Park","UK","141","Trafalgar",NA,8,1,141,105946,2019-08-25
94,"Balance, Not Symmetry","UK","111","Pinpoint/Munro",0.35365854,4,1,111,13945,2019-08-25
97,"Gwen","UK","45","Bulldog Film Distribution",-0.96674058,6,1,45,33228,2019-08-25
101,"Romeo and Juliet - ROH, 2018/19 (Ballet)","UK","13","Royal Opera House",NA,12,1,13,721978,2019-08-25
1,"Once Upon A Time In Hollywood","USA/Chn","1841873","Sony Pictures",-0.08795909,3,697,2643,16395349,2019-09-01
2,"The Lion King","UK/USA","1226965","Disney",0.11434664,7,656,1870,71715237,2019-09-01
3,"Angel Has Fallen","UK/USA","1187094","Lionsgate",-0.4407567,2,557,2131,4536490,2019-09-01
4,"Dora & The Lost City Of Gold","USA","622872","Paramount",0.27611555,3,587,1061,4057439,2019-09-01
5,"Fast & Furious: Hobbs & Shaw","UK/USA","610479","Universal",-0.03747436,5,426,1433,19078869,2019-09-01
6,"Toy Story 4","USA","577501","Disney",0.285498,11,576,1003,63815055,2019-09-01
7,"Scary Stories To Tell In The Dark","USA/Can","484600","eOne Films",-0.21497604,2,429,1130,1649543,2019-09-01
8,"Casino Royale (Secret Cinema 2019)","UK/USA/Cze","340919","Independent",0.05452673,13,1,340919,6598593,2019-09-01
9,"Good Boys","USA","307668","Universal",-0.11205645,3,351,877,2537827,2019-09-01
10,"The Informer","UK/USA","301424","Warner Bros",NA,1,450,670,301424,2019-09-01
11,"Angry Birds 2","USA","259529","Sony Pictures",0.36331018,5,485,535,4634544,2019-09-01
12,"Mrs. Lowry And Son","UK","250232","Vertigo",NA,1,194,1290,250232,2019-09-01
13,"Pain And Glory","Esp","241978","20th Century Fox",-0.25074932,2,177,1367,820455,2019-09-01
14,"Crawl","USA","225255","Paramount",-0.5087357,2,440,512,1060836,2019-09-01
15,"Spider-Man: Far From Home","UK/USA","205330","Sony Pictures",0.0410952,9,284,723,36511675,2019-09-01
16,"Saaho","Ind","193914","Yash Raj",NA,1,131,1480,193914,2019-09-01
18,"The Souvenir","UK","108710","Curzon",NA,1,43,2528,108710,2019-09-01
19,"Blinded By The Light","UK/USA","101537","eOne Films",-0.32470737,4,234,434,2824438,2019-09-01
21,"Yesterday","UK","65301","Universal",0.0168011,10,190,344,13531996,2019-09-01
22,"Horrible Histories: The Movie - Rotten Romans","UK","64293","Altitude",0.3312007,6,180,357,2721153,2019-09-01
23,"L.O.L. Surprise! On The Big Screen","USA","54309","Vue Entertainment",NA,1,90,603,54309,2019-09-01
24,"Inna De Yard","Fra","49280","Picture House Entertainment",NA,1,31,1590,49280,2019-09-01
25,"Bait","UK","48044","BFI",NA,1,24,2002,48044,2019-09-01
26,"Ne Zha","Chn","45868","CMC Pictures",NA,1,17,2698,45868,2019-09-01
28,"The Mustang","Fra/Bel","37344","Universal",NA,1,116,322,37344,2019-09-01
29,"Aladdin","UK/USA","35049","Disney",0.49131989,15,97,361,36856798,2019-09-01
31,"Surkhi Bindi","Ind","31439","Zee Studios",NA,1,23,1367,31439,2019-09-01
32,"A Million Little Pieces","USA","25746","eOne Films",NA,1,59,436,25746,2019-09-01
34,"Iris: A Space Opera By Justice (Concert)","Fra","23112","Pathe Live",NA,1,19,1216,23112,2019-09-01
37,"Westlife - The Twenty Tour Live","UK","13368","CinemaLive",1.53034104,9,47,284,967968,2019-09-01
38,"Asterix: The Secret Of The Magic Potion","Fra","12907","Altitude",NA,1,83,156,12907,2019-09-01
39,"The Lehman Trilogy - NT Live 2019 (Theatre)","UK","12446","National Theatre",0.64902286,7,8,1556,891742,2019-09-01
41,"Horrid Henry On The Big Screen","UK","6628","Vue Entertainment",-0.2196355,2,78,85,27637,2019-09-01
48,"Memory: The Origins Of Alien","USA","4846","Dogwoof",NA,1,6,808,4846,2019-09-01
53,"Animals","UK/Aus/Ire","3525","Picture House Entertainment",-0.34296365,5,11,320,323231,2019-09-01
55,"Small Island - NT Live 2019 (Theatre)","UK","3001","National Theatre",NA,11,2,1501,834621,2019-09-01
60,"Pavarotti","UK/USA/Fra/Ita","2236","eOne Films",-0.2360779,7,7,319,676661,2019-09-01
63,"Ishq My Religion","Ind","1861","Bakrania Media",NA,1,17,109,1861,2019-09-01
65,"Rocketman","UK/USA","1435","Paramount",-0.78649011,15,5,287,23294637,2019-09-01
71,"Vita and Virginia","UK/Ire","1080","Thunderbird",3.4813278,9,2,540,219856,2019-09-01
72,"Seahorse: The Dad Who Gave Birth","UK","967","Independent",NA,1,2,484,967,2019-09-01
73,"Gaza","UK","914","Wildcard",-0.72336562,4,3,305,53225,2019-09-01
76,"Tell It to the Bees","UK","646","Vertigo",0.31836735,7,4,162,43704,2019-09-01
78,"Gwen","UK","562","Bulldog Film Distribution",2.84931507,7,1,562,34491,2019-09-01
79,"Avengers: Endgame","UK/USA","526","Disney",-0.20182094,19,2,263,88691653,2019-09-01
80,"Dumbo","UK/USA","415","Disney",-0.67464546,23,9,46,25139867,2019-09-01
81,"Sometimes Always Never","UK","367","Parkland Entertainment",-0.64019608,12,1,367,350164,2019-09-01
83,"Don't Look Now (4K Restoration)","UK/Ita","337","StudioCanal",0.08709677,9,1,337,47712,2019-09-01
85,"Making Noise Quietly","UK","246","Verve",10.18181818,7,2,123,5374,2019-09-01
90,"Only You","UK/Swe","183","Curzon",-0.82703214,8,1,183,81249,2019-09-01
92,"Tolkien","UK/USA","118","20th Century Fox",NA,18,1,118,1790163,2019-09-01
100,"Are You Proud?","UK","20","Peccadillo",NA,6,1,20,7185,2019-09-01
1,"It: Chapter Two","USA/Can","7368586","Warner Bros",NA,1,652,11302,7368586,2019-09-08
2,"Once Upon A Time In Hollywood","USA/Chn","1084302","Sony Pictures",-0.41191548,4,631,1718,18591862,2019-09-08
3,"Angel Has Fallen","UK/USA","695622","Lionsgate",-0.41409118,3,519,1340,5931985,2019-09-08
4,"The Lion King","UK/USA","686991","Disney",-0.44305293,8,608,1130,73143510,2019-09-08
5,"Polityka","Pol","517255","Phoenix",NA,1,261,1982,517255,2019-09-08
6,"Dora & The Lost City Of Gold","USA","393429","Paramount",-0.3686691,4,551,714,4806749,2019-09-08
7,"Toy Story 4","USA","364104","Disney",-0.37371039,12,545,668,64591112,2019-09-08
8,"Fast & Furious: Hobbs & Shaw","UK/USA","348246","Universal",-0.42957996,6,360,967,19753144,2019-09-08
9,"Casino Royale (Secret Cinema 2019)","UK/USA/Cze","346141","Independent",0.01531742,14,1,346141,7109812,2019-09-08
10,"Good Boys","USA","150071","Universal",-0.51214192,4,264,568,2890628,2019-09-08
11,"Pain And Glory","Esp","147409","20th Century Fox",-0.3923784,3,122,1208,1144573,2019-09-08
12,"Angry Birds 2","USA","143487","Sony Pictures",-0.44952895,6,389,369,4885783,2019-09-08
13,"Mrs. Lowry And Son","UK","135657","Vertigo",-0.45787509,2,221,614,606889,2019-09-08
14,"Scary Stories To Tell In The Dark","USA/Can","128786","eOne Films",-0.73484346,3,327,394,2087624,2019-09-08
15,"Spider-Man: Far From Home","UK/USA","113854","Sony Pictures",-0.44460922,10,222,513,36775889,2019-09-08
16,"Chhichhore","Ind","101471","20th Century Fox",NA,1,76,1335,101471,2019-09-08
17,"The Souvenir","UK","95815","Curzon",-0.12500114,2,66,1452,289003,2019-09-08
18,"The Informer","UK/USA","90390","Warner Bros",-0.70025857,2,296,305,609839,2019-09-08
19,"Aladdin","UK/USA","89866","Disney",1.56401039,16,292,308,36978953,2019-09-08
22,"Blinded By The Light","UK/USA","51832","eOne Films",-0.50397627,5,164,316,2978953,2019-09-08
23,"Bait","UK","44265","BFI",-0.08509363,2,41,1080,139036,2019-09-08
24,"Yesterday","UK","38419","Universal",-0.41166291,11,130,296,13665985,2019-09-08
25,"Ittymaani: Made In China","Ind","35551","RFT Films",NA,1,77,462,35551,2019-09-08
27,"Horrible Histories: The Movie - Rotten Romans","UK","28216","Altitude",-0.56654121,7,147,192,2782721,2019-09-08
30,"The Shiny Shrimps","Fra","16828","Peccadillo",NA,1,42,401,16828,2019-09-08
33,"Rojo","Arg/Bra/Ger/Fra/Nld","12257","New Wave",NA,1,15,817,12257,2019-09-08
35,"The Lehman Trilogy - NT Live 2019 (Theatre)","UK","11355","National Theatre",-0.14572675,8,6,1893,962353,2019-09-08
37,"Magamuni","Ind","9840","Big Films",NA,1,27,364,9840,2019-09-08
38,"Sprinter","USA","9458","Aya Distribution",NA,1,27,350,9458,2019-09-08
44,"Saak","Ind","4603","B4U Movies",NA,1,9,511,4603,2019-09-08
46,"A Minuscule Adventure","Fra/Chn","4502","Signature Entertainment",NA,1,83,54,4502,2019-09-08
47,"Small Island - NT Live 2019 (Theatre)","UK","3944","National Theatre",0.31422859,12,3,1315,840135,2019-09-08
54,"Pavarotti","UK/USA/Fra/Ita","2894","eOne Films",0.06201835,8,11,263,695548,2019-09-08
55,"Horrid Henry On The Big Screen","UK","2734","Vue Entertainment",-0.58747315,3,67,41,35569,2019-09-08
57,"Animals","UK/Aus/Ire","2413","Picture House Entertainment",-0.31546099,6,8,302,327881,2019-09-08
60,"The Wedding","Ltu","2043","Tjenester AS",NA,1,9,227,2043,2019-09-08
62,"Rocketman","UK/USA","1772","Paramount",0.16272966,16,5,354,23304162,2019-09-08
63,"The Big Meeting","UK","1640","Shut Out The Light/Miracle",NA,1,6,273,1640,2019-09-08
65,"Gaza","UK","1430","Wildcard",0.56455142,5,6,238,55112,2019-09-08
69,"Seahorse: The Dad Who Gave Birth","UK","1161","Independent",0.20062048,2,4,290,5642,2019-09-08
72,"Monty Python's Life of Brian (40th Anniversary)","UK","1046","Trafalgar",NA,22,1,1046,207878,2019-09-08
73,"Westlife - The Twenty Tour Live","UK","1020","CinemaLive",-0.92370047,10,3,340,968988,2019-09-08
74,"Vita and Virginia","UK/Ire","1018","Thunderbird",-0.47660668,10,4,255,225110,2019-09-08
75,"Matthew Bourne's The Car Man 2015 (Dance)","UK","904","More2Screen",NA,185,1,904,94756,2019-09-08
79,"Don't Look Now (4K Restoration)","UK/Ita","651","StudioCanal",0.93175074,10,2,326,48679,2019-09-08
80,"The Edge","UK","632","Noah Media/Shear Entertainment",NA,8,2,316,38056,2019-09-08
82,"Matthew Bourne’s Swan Lake 2019 (Ballet)","UK","492","More2Screen",NA,17,1,492,544423,2019-09-08
83,"Only You","UK/Swe","447","Curzon",1.44262295,9,3,149,82784,2019-09-08
84,"The Run","Aus/Ind","434","Jonny Tull",NA,1,2,217,434,2019-09-08
85,"League Of Legends: European Summer Finals 2019","UK","412","National Amusements UK",NA,1,2,206,412,2019-09-08
89,"Enai Noki Paayum Thota","Ind","247","Sun Media",NA,1,4,62,247,2019-09-08
90,"Dumbo","UK/USA","218","Disney",-0.6465831,24,8,27,25140288,2019-09-08
91,"Yuli: The Carlos Acosta Story - ROH Live 2019 (Ballet)","UK","203","Modern Films",NA,22,1,203,207943,2019-09-08
93,"Gwen","UK","175","Bulldog Film Distribution",-0.6886121,8,1,175,35875,2019-09-08
94,"Sometimes Always Never","UK","134","Parkland Entertainment",-0.63487738,13,1,134,358188,2019-09-08
95,"Everybody's Talking About Jamie (Musical)","UK","104","More2Screen",NA,63,1,104,1215580,2019-09-08
100,"Tolkien","UK/USA","50","20th Century Fox",-0.57627119,19,1,50,1806802,2019-09-08
101,"Tell It to the Bees","UK","44","Vertigo",-0.93188854,8,1,44,44142,2019-09-08
104,"Are You Proud?","UK","26","Peccadillo",0.3,7,1,26,7245,2019-09-08
1,"Downton Abbey","UK/USA","5180865","Universal",NA,1,728,7117,5180865,2019-09-15
2,"It: Chapter Two","USA/Can","3161317","Warner Bros",-0.57132063,2,630,5018,13596306,2019-09-15
3,"Hustlers","USA","1353324","STX Entertainment",NA,1,478,2831,1353324,2019-09-15
4,"Once Upon A Time In Hollywood","USA/Chn","557889","Sony Pictures",-0.48601271,5,523,1067,19818323,2019-09-15
5,"The Lion King","UK/USA","439795","Disney",-0.364335,9,579,760,73846727,2019-09-15
6,"Angel Has Fallen","UK/USA","382184","Lionsgate",-0.45118627,4,389,982,6739422,2019-09-15
7,"Casino Royale (Secret Cinema 2019)","UK/USA/Cze","343261","Independent",-0.00832031,15,1,343261,7595958,2019-09-15
8,"Dora & The Lost City Of Gold","USA","277896","Paramount",-0.29584189,5,510,545,5145012,2019-09-15
9,"Toy Story 4","USA","265727","Disney",-0.27188108,13,508,523,64938181,2019-09-15
10,"Fast & Furious: Hobbs & Shaw","UK/USA","192917","Universal",-0.45196837,7,289,668,20121138,2019-09-15
11,"Dream Girl","Ind","127967","Zee Studios",NA,1,71,1802,127967,2019-09-15
12,"Angry Birds 2","USA","101770","Sony Pictures",-0.29522161,7,334,305,4997447,2019-09-15
13,"Good Boys","USA","74065","Universal",-0.50704507,5,182,407,3069323,2019-09-15
14,"Spider-Man: Far From Home","UK/USA","70036","Sony Pictures",-0.38506655,11,187,375,36884801,2019-09-15
15,"Pain And Glory","Esp","62326","20th Century Fox",-0.58003329,4,63,989,1305028,2019-09-15
16,"Aladdin","UK/USA","47756","Disney",-0.46858656,17,180,265,37029699,2019-09-15
17,"Extra Ordinary","Ire/Bel","47636","Wildcard",NA,1,90,529,47636,2019-09-15
18,"Mrs. Lowry And Son","UK","42644","Vertigo",-0.68819052,3,112,381,841321,2019-09-15
19,"Horrible Histories: The Movie - Rotten Romans","UK","40843","Altitude",0.43727346,8,312,131,2826782,2019-09-15
21,"For Sama","UK","39001","Republic Film",NA,1,24,1625,39001,2019-09-15
26,"The Souvenir","UK","35255","Curzon",-0.63261499,3,45,783,387636,2019-09-15
27,"Bait","UK","22760","BFI",-0.49284727,3,34,669,215014,2019-09-15
28,"Gang Leader","Ind","21442","Sailing Stones",NA,1,13,1649,21442,2019-09-15
29,"Fleabag - NT Live 2019 (Theatre)","UK","19598","National Theatre",NA,2,2,9799,1889397,2019-09-15
31,"Blinded By The Light","UK/USA","18967","eOne Films",-0.64052461,6,86,221,3048685,2019-09-15
33,"Wolf","UK","13297","Stroghold",NA,1,66,201,13297,2019-09-15
34,"The Informer","UK/USA","12918","Warner Bros",-0.85717355,3,107,121,693274,2019-09-15
35,"Yesterday","UK","11669","Universal",-0.70812906,12,80,146,13714876,2019-09-15
37,"Midnight Cowboy (4K Restoration)","USA","9048","BFI",NA,1,6,1508,9048,2019-09-15
40,"Night Hunter","Can/USA","6050","Signature Entertainment",NA,1,10,605,6050,2019-09-15
42,"Honeyland","Mkd","5032","Dogwoof",NA,1,6,839,5032,2019-09-15
47,"Teri Meri Jodi","Ind","3468","Blue Sapphire",NA,1,5,694,3468,2019-09-15
49,"All At Sea","UK/Nor","2743","Parkland Entertainment",NA,1,4,686,2743,2019-09-15
50,"Phoenix","Nor","2594","Verve",NA,1,10,259,2594,2019-09-15
53,"Pavarotti","UK/USA/Fra/Ita","2319","eOne Films",-0.19868694,9,5,464,705400,2019-09-15
55,"The Shock Of The Future","Fra","1975","606 Distribution",NA,1,10,198,1975,2019-09-15
58,"Small Island - NT Live 2019 (Theatre)","UK","1753","National Theatre",-0.55552738,13,2,877,842672,2019-09-15
59,"Horrid Henry On The Big Screen","UK","1655","Vue Entertainment",-0.39473957,4,49,34,37467,2019-09-15
61,"Rocketman","UK/USA","1253","Paramount",-0.29288939,17,5,251,23340362,2019-09-15
62,"The Big Meeting","UK","1158","Shut Out The Light/Miracle",-0.29427831,2,6,193,3776,2019-09-15
71,"Westlife - The Twenty Tour Live","UK","760","CinemaLive",-0.61518987,11,1,760,970703,2019-09-15
76,"Animals","UK/Aus/Ire","570","Picture House Entertainment",-0.76377953,7,3,190,331695,2019-09-15
78,"Fisherman's Friends","UK","497","Entertainment",NA,27,1,498,7431814,2019-09-15
82,"Gaza","UK","403","Wildcard",-0.73831169,6,3,134,57069,2019-09-15
85,"Sometimes Always Never","UK","346","Parkland Entertainment",1.58208955,14,1,346,360885,2019-09-15
86,"Howards End (Re: 2017)","UK","340","BFI",NA,112,1,340,93223,2019-09-15
89,"Don't Look Now (4K Restoration)","UK/Ita","294","StudioCanal",-0.5483871,11,1,294,49182,2019-09-15
93,"Gwen","UK","168","Bulldog Film Distribution",-0.04,9,1,168,36485,2019-09-15
94,"Dumbo","UK/USA","143","Disney",-0.34553776,25,8,18,25140431,2019-09-15
97,"A Clockwork Orange, (Re: 2019)","UK/USA","80","BFI",-0.7979798,24,1,80,139870,2019-09-15
98,"Only You","UK/Swe","66","Curzon",-0.85234899,10,1,66,83829,2019-09-15
100,"Vita and Virginia","UK/Ire","32","Thunderbird",-0.96856582,11,1,32,230207,2019-09-15
1,"Downton Abbey","UK/USA","3280442","Universal",-0.36884405,2,736,4457,13162925,2019-09-22
2,"Ad Astra","USA/Bra/Chn","2265387","20th Century Fox",NA,1,616,3678,2265387,2019-09-22
3,"It: Chapter Two","USA/Can","1387429","Warner Bros",-0.56184437,3,562,2469,16191137,2019-09-22
4,"Rambo: Last Blood","USA","1075071","Lionsgate",NA,1,509,2112,1075071,2019-09-22
