"rank","film","country_of_origin","weekend_gross","distributor","percent_change_on_last_week","weeks_on_release","number_of_cinemas","site_average","total_gross_to_date","weekend_sunday","year","week","year_week"
17,"The Glass Castle","USA","49425","Lionsgate",NA,1,82,602,49425,"2017-10-08",2017,40,"2017-40"
18,"La Boheme - ROH, London 2017/18 (Opera)","UK","44604","Royal Opera House",NA,2,65,686,659729,"2017-10-08",2017,40,"2017-40"
23,"Chef","Ind","28821.077183653","B4U Movies",NA,1,26,1108,28821,"2017-10-08",2017,40,"2017-40"
28,"Daphne","UK","15026","Altitude",-0.58161163,2,20,751,70646,"2017-10-08",2017,40,"2017-40"
30,"God's Own Country","UK","13753","Picture House Entertainment",-0.50334044,6,22,625,739897,"2017-10-08",2017,40,"2017-40"
32,"The Night Is Short, Walk on Girl","JPN","10349","National Amusements UK",NA,1,2,5174,10349,"2017-10-08",2017,40,"2017-40"
35,"The Limehouse Golem","UK","9346","Lionsgate",0.01653252,6,10,934,1232222,"2017-10-08",2017,40,"2017-40"
36,"Chasing the Dragon","CHN/HKG","8447.57567307398","Asia Releasing",NA,1,12,703,8447,"2017-10-08",2017,40,"2017-40"
39,"Blood Simple (4K Restoration)","USA","7000","Independent Cinema Office",NA,1,8,875,7000,"2017-10-08",2017,40,"2017-40"
40,"Bailaras","Ind","5773.6299999979","B4U Movies",NA,1,7,824,5773,"2017-10-08",2017,40,"2017-40"
41,"Hamlet - NT Live 2015 Encore (Theatre)","UK","5406","National Theatre/ Trafalgar Studios",NA,2,7,772,424599,"2017-10-08",2017,40,"2017-40"
45,"Baby Driver","UK/USA","3257","Sony Pictures",0.15742715,15,3,1085,13046549,"2017-10-08",2017,40,"2017-40"
47,"Tawai: A Voice from the Forest","UK/Bra/Ind/Mas","2806","Munro Film",-0.8532657,2,5,561,30512,"2017-10-08",2017,40,"2017-40"
49,"Solo","Ind","2273.00999999613","Pranay Pictures",NA,1,9,252,2273,"2017-10-08",2017,40,"2017-40"
52,"On the Road","UK","1654.09999999855","Lorton",NA,2,10,165,2477,"2017-10-08",2017,40,"2017-40"
54,"Nature of the Beast","UK","1387.99999999833","Shut Out The Light/Miracle",10.28455285,5,2,694,10313,"2017-10-08",2017,40,"2017-40"
56,"The Reagan Show","USA","1231.4999999926","Dogwoof",NA,1,4,307,1231,"2017-10-08",2017,40,"2017-40"
58,"Return to Montauk","Ger/Fra/Ire","1105.80392217609","Wildcard",NA,1,1,1105,1105,"2017-10-08",2017,40,"2017-40"
63,"Angels In America Part Two: Perestroika - NT Live 2017 (Theatre)","UK","846.770693233747","National Theatre/ Trafalgar Studios",NA,12,1,846,417356,"2017-10-08",2017,40,"2017-40"
64,"Final Portrait","UK","765","Vertigo",-0.57781457,8,4,191,272353,"2017-10-08",2017,40,"2017-40"
67,"Beauty and the Beast","UK/USA","707","Disney",0.59954751,30,2,353,72430579,"2017-10-08",2017,40,"2017-40"
75,"Thomas & Friends: Journey Beyond Sodor","UK","501.000000000121","National Amusements UK",-0.95164466,7,3,167,196710,"2017-10-08",2017,40,"2017-40"
76,"Exhibition On Screen: Canaletto","UK","463","Seventh Art Production",-0.99128159,2,1,463,75127,"2017-10-08",2017,40,"2017-40"
77,"The Ornithologist","Bra/fra/Por","444.999999999925","Matchbox Films",NA,1,1,445,444,"2017-10-08",2017,40,"2017-40"
83,"England is Mine","UK","276","eOne Films",1.65384615,10,2,138,210033,"2017-10-08",2017,40,"2017-40"
84,"Hampstead","UK","262.698270463463","eOne Films",-0.30980568,16,3,87,1578152,"2017-10-08",2017,40,"2017-40"
85,"The Exception","UK","260","Signature Entertainment",-0.87613149,2,2,130,2359,"2017-10-08",2017,40,"2017-40"
86,"Brimstone","UK/USA/Bel/Ger/Fra/NLD/Swe","248.234297978598","Thunderbird",-0.93823063,2,3,82,7891,"2017-10-08",2017,40,"2017-40"
90,"Almost Heaven","UK","178","Independent",NA,3,1,178,2697,"2017-10-08",2017,40,"2017-40"
95,"Manolo: The Boy Who Made Shoes for Lizar","UK","105.500000000642","Park Circus",-0.95285127,2,1,105,3698,"2017-10-08",2017,40,"2017-40"
97,"The Libertines: There Are No Innocent Bystanders","UK","100","Pulse Films",NA,290,1,100,10970,"2017-10-08",2017,40,"2017-40"
98,"Dispossession: The Great Social Housing Swindle","UK","99.0000000008916","Independent",NA,18,1,99,32371,"2017-10-08",2017,40,"2017-40"
100,"Howards End (Re: 2017)","UK","87","BFI",-0.72897196,11,1,87,87794,"2017-10-08",2017,40,"2017-40"
105,"Una","UK/USA/Can","23","Thunderbird",-0.61016949,6,1,23,14134,"2017-10-08",2017,40,"2017-40"
108,"The Marker","UK","27.9999999972123","Kaleidoscope",NA,1,1,27,27,"2017-10-08",2017,40,"2017-40"
1,"The LEGO Ninjago Movie","USA/Den","3642038","Warner Bros",NA,1,613,5941,3642038,"2017-10-15",2017,41,"2017-41"
2,"Blade Runner 2049","USA","3098872","Sony Pictures",-0.49066401,2,653,4745,12184828,"2017-10-15",2017,41,"2017-41"
3,"The Snowman","UK/Swe/Nor","1377908.5525587","Universal",NA,1,531,2594,1377908,"2017-10-15",2017,41,"2017-41"
4,"Kingsman: The Golden Circle","UK/USA","1347964","20th Century Fox",-0.36268948,4,522,2582,21781664,"2017-10-15",2017,41,"2017-41"
5,"Botoks","Pol","792957","Phoenix",NA,1,217,3654,792957,"2017-10-15",2017,41,"2017-41"
6,"The Mountain Between Us","USA","484242.594115634","20th Century Fox",-0.37857664,2,442,1095,1761281,"2017-10-15",2017,41,"2017-41"
7,"The Ritual","UK","424352","eOne Films",NA,1,375,1131,424352,"2017-10-15",2017,41,"2017-41"
8,"It","USA","413359","Warner Bros",-0.49012277,6,377,1096,31748050,"2017-10-15",2017,41,"2017-41"
9,"Loving Vincent","UK/Pol","274036","Altitude",NA,1,101,2713,274036,"2017-10-15",2017,41,"2017-41"
10,"The Party","UK","234985","Picture House Entertainment",NA,1,65,3615,234985,"2017-10-15",2017,41,"2017-41"
11,"Victoria and Abdul","UK","224175","Universal",-0.5215048,5,381,588,8993612,"2017-10-15",2017,41,"2017-41"
12,"Die Zauberflote - Met Opera 2017 (Opera)","USA","213605.254949919","Trafalgar",NA,1,199,1073,213605,"2017-10-15",2017,41,"2017-41"
13,"Goodbye Christopher Robin","UK","206597","20th Century Fox",-0.48178833,3,427,483,2288085,"2017-10-15",2017,41,"2017-41"
14,"Despicable Me 3","USA/Fra","119250.47595591","Universal",0.36604774,16,391,304,47191579,"2017-10-15",2017,41,"2017-41"
15,"Captain Underpants","USA","72455","20th Century Fox",-0.32087657,12,325,222,8100263,"2017-10-15",2017,41,"2017-41"
18,"Barbie: Dolphin Magic","USA","61038.0074963381","National Amusements UK",NA,1,291,209,61038,"2017-10-15",2017,41,"2017-41"
23,"Dunkirk","UK/USA","20833","Warner Bros",-0.58896299,13,70,297,56531664,"2017-10-15",2017,41,"2017-41"
26,"Double Date","UK","17502","Pinpoint",NA,1,64,273,17502,"2017-10-15",2017,41,"2017-41"
31,"God's Own Country","UK","12324","Picture House Entertainment",-0.12415607,7,21,586,766848,"2017-10-15",2017,41,"2017-41"
32,"The Limehouse Golem","UK","10799","Lionsgate",0.08445471,7,11,981,1254049,"2017-10-15",2017,41,"2017-41"
33,"Daphne","UK","8926","Altitude",-0.40576526,3,17,525,90482,"2017-10-15",2017,41,"2017-41"
35,"Parava","Ind","7539.99000001557","Pranay Pictures",NA,1,25,301,7539,"2017-10-15",2017,41,"2017-41"
41,"Hellraiser: 30th Anniversary","UK","5551","Arrow Films",NA,1,17,326,5551,"2017-10-15",2017,41,"2017-41"
43,"6 Below","USA","4790.99999999484","Signature Entertainment",NA,1,10,479,4790,"2017-10-15",2017,41,"2017-41"
45,"Tawai: A Voice from the Forest","UK/Bra/Ind/Mas","4175","Munro Film",0.48788311,3,4,1043,37158,"2017-10-15",2017,41,"2017-41"
46,"It's not yet Dark","Ire","3042.97809798872","Wildcard",NA,1,6,507,3042,"2017-10-15",2017,41,"2017-41"
48,"Boy","NZ","2653.43060617708","Vertigo",NA,1,4,663,2653,"2017-10-15",2017,41,"2017-41"
51,"Nature of the Beast","UK","2049.00000000143","Shut Out The Light/Miracle",-0.13376173,6,1,2049,13565,"2017-10-15",2017,41,"2017-41"
63,"Exhibition On Screen: Canaletto","UK","554","Seventh Art Production",0.19654428,3,1,554,79957,"2017-10-15",2017,41,"2017-41"
64,"Bitch","USA","517.640000003395","StudioCanal",NA,1,1,517,517,"2017-10-15",2017,41,"2017-41"
65,"La Boheme - ROH, London 2017/18 (Opera)","UK","507.534673238797","Royal Opera House",-0.9896363,3,1,507,671659,"2017-10-15",2017,41,"2017-41"
66,"Brimstone","UK/USA/Bel/Ger/Fra/Nld/Swe","502.100000002569","Thunderbird",0.83761703,3,3,167,8544,"2017-10-15",2017,41,"2017-41"
67,"Thomas & Friends: Journey Beyond Sodor","UK","479.999999999474","National Amusements UK",-0.04191617,8,2,240,197210,"2017-10-15",2017,41,"2017-41"
70,"Baby Driver","UK/USA","428","Sony Pictures",-0.86859073,16,1,428,13048664,"2017-10-15",2017,41,"2017-41"
72,"Hamlet - NT Live 2015 Encore (Theatre)","UK","363.999999999978","National Theatre/ Trafalgar Studios",-0.95137915,3,1,364,442048,"2017-10-15",2017,41,"2017-41"
73,"Raju Gari Gadhi 2","Ind","339.999999997742","Q Entertainment",NA,1,1,340,339,"2017-10-15",2017,41,"2017-41"
88,"Dream/Symphonic Variations/Marguerite & Armand (Ballet)","UK","99","Royal Opera House",NA,20,1,99,321251,"2017-10-15",2017,41,"2017-41"
93,"Coriolanus - RSC Live 2017 (Theatre)","UK","50.0000000027725","Trafalgar",NA,2,1,50,117346,"2017-10-15",2017,41,"2017-41"
95,"The Exception","UK","24","Signature Entertainment",-0.90769231,3,1,24,3142,"2017-10-15",2017,41,"2017-41"
97,"The Libertines: There Are No Innocent Bystanders","UK","100","Pulse Films",NA,290,1,100,10970,"2017-10-15",2017,41,"2017-41"
98,"Dispossession: The Great Social Housing Swindle","UK","99.0000000008916","Independent",NA,18,1,99,32371,"2017-10-15",2017,41,"2017-41"
100,"Howards End (Re: 2017)","UK","87","BFI",-0.72897196,11,1,87,87794,"2017-10-15",2017,41,"2017-41"
105,"Una","UK/USA/Can","23","Thunderbird",-0.61016949,6,1,23,14134,"2017-10-15",2017,41,"2017-41"
108,"The Marker","UK","27.9999999972123","Kaleidoscope",NA,1,1,27,27,"2017-10-15",2017,41,"2017-41"
1,"Blade Runner 2049","USA","1791027","Sony Pictures",-0.422472727483789,3,617,2902,15718087,"2017-10-22",2017,42,"2017-42"
2,"Geostorm","USA","1625895","Warner Bros",NA,1,477,3408,1625895,"2017-10-22",2017,42,"2017-42"
3,"The LEGO Ninjago Movie","USA/Den","1346411","Warner Bros",-0.630701803468259,2,623,2161,5557445,"2017-10-22",2017,42,"2017-42"
4,"Happy Death Day","USA","998388.479834986","Universal",NA,1,416,2399,998388,"2017-10-22",2017,42,"2017-42"
5,"The Death of Stalin","UK","995458","eOne Films",NA,1,138,7213,995458,"2017-10-22",2017,42,"2017-42"
6,"My Little Pony","USA","916123","Lionsgate",NA,1,531,1725,916123,"2017-10-22",2017,42,"2017-42"
7,"Kingsman: The Golden Circle","UK/USA","884067","20th Century Fox",-0.345204915331191,5,451,1960,23357625,"2017-10-22",2017,42,"2017-42"
8,"The Snowman","UK/Swe/Nor","591453","Universal",-0.571334144589648,2,528,1120,2718293,"2017-10-22",2017,42,"2017-42"
9,"Mersal","Ind","362593","Murugan Talkies",NA,1,40,9064,362593,"2017-10-22",2017,42,"2017-42"
10,"Secret Superstar","Ind","272554","Zee Studios",NA,1,141,1933,272554,"2017-10-22",2017,42,"2017-42"
11,"The Mountain Between Us","USA","271905.262996288","20th Century Fox",-0.439336921326772,3,368,738,2360660,"2017-10-22",2017,42,"2017-42"
12,"Golmaal Again","Ind","205544.736478852","Reliance Big Pictures",NA,1,107,1920,205544,"2017-10-22",2017,42,"2017-42"
13,"The Party","UK","183488","Picture House Entertainment",-0.219150158520757,2,94,1952,602906,"2017-10-22",2017,42,"2017-42"
14,"It","USA","177566","Warner Bros",-0.570680780175968,7,237,749,32118610,"2017-10-22",2017,42,"2017-42"
15,"Victoria and Abdul","UK","169382","Universal",-0.245232069014687,6,217,780,9434937,"2017-10-22",2017,42,"2017-42"
17,"Goodbye Christopher Robin","UK","115143","20th Century Fox",-0.444904039454464,4,263,437,2593002,"2017-10-22",2017,42,"2017-42"
18,"The Ritual","UK","103030","eOne Films",-0.757338948241102,2,310,332,745974,"2017-10-22",2017,42,"2017-42"
20,"Le Corsaire - Bolshoi 2017 (Ballet)","Rus","88995.1744940336","Trafalgar",NA,1,142,626,88995,"2017-10-22",2017,42,"2017-42"
21,"Loving Vincent","UK/Pol","72605","Altitude",-0.735952052776859,2,75,968,462151,"2017-10-22",2017,42,"2017-42"
27,"Paw Patrol: Big Screen Tails","UK","35331.786183906","National Amusements UK",NA,1,106,333,35331,"2017-10-22",2017,42,"2017-42"
28,"Earth: One Amazing Day","UK","28729","BBC Earth/Munro",NA,1,88,326,28729,"2017-10-22",2017,42,"2017-42"
29,"I am Not a Witch","UK/Fra","24445","Curzon/Artificial Eye",NA,1,16,1527,24445,"2017-10-22",2017,42,"2017-42"
31,"Seven Sundays","Philippines","17025.8999999981","ABS-CBN Distributors",NA,1,3,5675,17025,"2017-10-22",2017,42,"2017-42"
32,"Marshall","USA","14967.2389870343","Sony Pictures",NA,1,75,199,14967,"2017-10-22",2017,42,"2017-42"
33,"Dunkirk","UK/USA","14618","Warner Bros",-0.378459968536077,14,43,339,56566198,"2017-10-22",2017,42,"2017-42"
35,"Jungle","Aus/Col","11832.0000000073","Signature Entertainment",NA,1,12,986,11832,"2017-10-22",2017,42,"2017-42"
36,"The Ballad of Shirley Collins","UK","10688","Lowlight",NA,1,6,1781,10688,"2017-10-22",2017,42,"2017-42"
41,"North by Northwest (Re: 2017)","USA","7543.99999999811","BFI",NA,1,3,2514,7543,"2017-10-22",2017,42,"2017-42"
42,"Unrest","USA","7284","Together Films",NA,1,5,1456,7284,"2017-10-22",2017,42,"2017-42"
45,"Brawl in Cell Block 99","USA","5421.19411975651","Munro Film",NA,1,23,235,5421,"2017-10-22",2017,42,"2017-42"
48,"Hamlet - NT Live 2015 Encore (Theatre)","UK","4746.99999999514","National Theatre/ Trafalgar Studios",12.0412087911962,4,3,1582,458791,"2017-10-22",2017,42,"2017-42"
51,"Dina","USA","4565","Dogwoof",NA,1,9,507,4565,"2017-10-22",2017,42,"2017-42"
52,"God's Own Country","UK","4144","Picture House Entertainment",-0.663745537163259,8,8,518,779778,"2017-10-22",2017,42,"2017-42"
54,"We Are X: Live in-Person Q&A with Yoshik","UK/JPN/USA","3241.19999999703","Independent",NA,1,1,3241,3241,"2017-10-22",2017,42,"2017-42"
56,"Tawai: A Voice from the Forest","UK/Bra/Ind/Mas","2836","Munro Film",-0.320718562874252,4,6,472,46271,"2017-10-22",2017,42,"2017-42"
57,"Yerma - NT Live 2017 (Theatre)","UK","2834.99999999623","National Theatre/ Trafalgar Studios",NA,9,2,1417,891817,"2017-10-22",2017,42,"2017-42"
58,"Cingoz Recai","Tur","2364.94000000078","Af-Media",NA,1,1,2364,2364,"2017-10-22",2017,42,"2017-42"
59,"Daphne","UK","2194","Altitude",-0.758076965486823,4,3,731,103613,"2017-10-22",2017,42,"2017-42"
62,"Hellraiser: 30th Anniversary","UK","1778","Arrow Films",-0.679697351828499,2,4,444,7329,"2017-10-22",2017,42,"2017-42"
64,"Udaharanam Sujatha","Ind","1707.69999999989","RFT Films",NA,1,9,189,1707,"2017-10-22",2017,42,"2017-42"
65,"The Limehouse Golem","UK","1384","Lionsgate",-0.850797757654161,8,3,461,1266769,"2017-10-22",2017,42,"2017-42"
66,"Ilk Opucuk","Tur","1330.02000000053","Kinostar",NA,1,2,665,1330,"2017-10-22",2017,42,"2017-42"
67,"Double Date","UK","1298","Pinpoint",-0.925837047194606,2,14,92,33748,"2017-10-22",2017,42,"2017-42"
70,"Nature of the Beast","UK","1159.00000000346","Shut Out The Light/Miracle",-0.434358223522376,7,1,1159,14931,"2017-10-22",2017,42,"2017-42"
71,"Bad Day for the Cut","UK","1144.99999999794","Kaleidoscope",NA,1,1,1144,1144,"2017-10-22",2017,42,"2017-42"
72,"The Princess Bride (30th Anniversary)","USA","1128","Lionsgate",NA,1,1,1128,1128,"2017-10-22",2017,42,"2017-42"
73,"Access All Areas","UK","1021","Camden Films",NA,1,17,60,1021,"2017-10-22",2017,42,"2017-42"
76,"Danger Doctor Jelly","Ind","995.23000000395","Filmonix",NA,1,2,497,995,"2017-10-22",2017,42,"2017-42"
79,"Brimstone","UK/USA/Bel/Ger/Fra/NLD/Swe","891.000000000987","Thunderbird",0.774546903000255,4,3,297,9721,"2017-10-22",2017,42,"2017-42"
81,"Coriolanus - RSC Live 2017 (Theatre)","UK","763.000000000486","Trafalgar",3.92258064503514,3,3,254,120234,"2017-10-22",2017,42,"2017-42"
82,"My Pure Land","UK","697","Bill Kenwright Films",NA,6,2,348,13019,"2017-10-22",2017,42,"2017-42"
83,"Hampstead","UK","655.000000002441","eOne Films",NA,18,1,655,1599021,"2017-10-22",2017,42,"2017-42"
84,"Buena Vista Social Club: Adios","Cub/USA","568.000000001269","StudioCanal",NA,1,1,568,568,"2017-10-22",2017,42,"2017-42"
91,"Thomas & Friends: Journey Beyond Sodor","UK","314.200000004721","National Amusements UK",-0.603533123023296,9,3,104,198154,"2017-10-22",2017,42,"2017-42"
95,"Final Portrait","UK","233","Vertigo",NA,10,1,233,275322,"2017-10-22",2017,42,"2017-42"
102,"Dispossession: The Great Social Housing Swindle","UK","129.999999996944","Independent",NA,20,1,129,34931,"2017-10-22",2017,42,"2017-42"
103,"Baby Driver","UK/USA","125","Sony Pictures",-0.707943925233645,17,1,125,13051963,"2017-10-22",2017,42,"2017-42"
1,"Thor: Ragnarok","USA","12375804","Disney",NA,1,611,20254,12375804,"2017-10-29",2017,43,"2017-43"
2,"Jigsaw","USA/Can","1851249","Lionsgate",NA,1,462,4007,1851249,"2017-10-29",2017,43,"2017-43"
3,"The LEGO Ninjago Movie","USA/Den","889802","Warner Bros",-0.340951847671191,3,618,1439,8210047,"2017-10-29",2017,43,"2017-43"
4,"The Death of Stalin","UK","812288","eOne Films",-0.183557942813033,2,314,2586,2469700,"2017-10-29",2017,43,"2017-43"
5,"Blade Runner 2049","USA","692999","Sony Pictures",-0.614055205222125,4,421,1646,17416826,"2017-10-29",2017,43,"2017-43"
6,"Geostorm","USA","659666","Warner Bros",-0.594833352271157,2,494,1335,3345633,"2017-10-29",2017,43,"2017-43"
7,"My Little Pony","USA","622946","Lionsgate",-0.320244078627189,2,551,1130,2572132,"2017-10-29",2017,43,"2017-43"
8,"Breathe","UK","535675","STX Entertainment",NA,1,463,1156,535675,"2017-10-29",2017,43,"2017-43"
9,"Happy Death Day","USA","434871.666431578","Universal",-0.563561343287509,2,407,1068,2157390,"2017-10-29",2017,43,"2017-43"
10,"Kingsman: The Golden Circle","UK/USA","373276","20th Century Fox",-0.578500208900281,6,326,1145,24247191,"2017-10-29",2017,43,"2017-43"
11,"Call Me by Your Name","Ita/Fra/USA/Bra","235760","Sony Pictures",NA,1,111,2123,235760,"2017-10-29",2017,43,"2017-43"
12,"The Snowman","UK/Swe/Nor","110625.082333526","Universal",-0.812546349983468,3,234,472,3148114,"2017-10-29",2017,43,"2017-43"
13,"Grace Jones: Bloodlight and Bami","UK/Ire/Aus/Fra/Ger","98299","Trafalgar",NA,1,13,7561,98299,"2017-10-29",2017,43,"2017-43"
14,"Secret Superstar","Ind","91851","Zee Studios",-0.662917266081442,2,45,2041,511587,"2017-10-29",2017,43,"2017-43"
15,"Despicable Me 3","USA/Fra","81384.5448338136","Universal",-0.169834379407783,18,223,364,47562575,"2017-10-29",2017,43,"2017-43"
16,"The Party","UK","79849","Picture House Entertainment",-0.564820012535085,3,64,1247,803601,"2017-10-29",2017,43,"2017-43"
18,"Alice's Adventures in Wonderland - ROH, London 2017/18 (Ballet)","UK","70470.5100000113","Royal Opera House",NA,2,86,819,701762,"2017-10-29",2017,43,"2017-43"
19,"Victoria and Abdul","UK","63031","Universal",-0.628289202099428,7,112,562,9668070,"2017-10-29",2017,43,"2017-43"
21,"Loving Vincent","UK/Pol","61182","Altitude",-0.168880919390333,3,60,1019,594681,"2017-10-29",2017,43,"2017-43"
27,"Ramaleela","Ind","33111","Pranay Pictures",NA,1,80,413,33111,"2017-10-29",2017,43,"2017-43"
28,"Goodbye Christopher Robin","UK","26624","20th Century Fox",-0.775820548660346,5,84,316,2725119,"2017-10-29",2017,43,"2017-43"
30,"Paw Patrol: Big Screen Tails","UK","19653.8508431235","National Amusements UK",-0.443734581070344,2,87,225,100741,"2017-10-29",2017,43,"2017-43"
36,"The Ritual","UK","6093","eOne Films",-0.94086934580709,3,66,92,793186,"2017-10-29",2017,43,"2017-43"
37,"I am Not a Witch","UK/Fra","5627","Curzon/Artificial Eye",-0.767604179572957,2,13,432,42872,"2017-10-29",2017,43,"2017-43"
39,"Earth: One Amazing Day","UK","4807","BBC Earth/Munro",-0.834577927664407,2,31,155,67848,"2017-10-29",2017,43,"2017-43"
40,"Balwan Singh","Ind","4637.12999999582","Filmonix",NA,1,8,579,4637,"2017-10-29",2017,43,"2017-43"
41,"Joshua Vs. Takam (Boxing)","UK","4148.29804523189","Sky Sports",NA,1,32,129,4148,"2017-10-29",2017,43,"2017-43"
43,"Property of the State","UK/Ire","3796.88126928701","Miracle Communications",NA,1,15,253,3796,"2017-10-29",2017,43,"2017-43"
46,"Perfect Blue (20th Anniversary)","Jpn","3452","National Amusements UK",NA,1,13,265,3452,"2017-10-29",2017,43,"2017-43"
47,"The Rocky Horror Picture Show + Q&A (40th Anniversary)","UK/USA","3397","Apollo Digital Distribution",NA,102,6,566,112778,"2017-10-29",2017,43,"2017-43"
51,"Hamlet - NT Live 2015 Encore (Theatre)","UK","2077.99999999783","National Theatre/ Trafalgar Studios",-0.562249842005486,5,1,2077,468241,"2017-10-29",2017,43,"2017-43"
52,"Banana Island Ghost – B.I.G.","Nga","2044","Evrit Films",NA,1,12,170,2044,"2017-10-29",2017,43,"2017-43"
56,"The Limehouse Golem","UK","1915","Lionsgate",0.30984952120383,9,4,478,1273487,"2017-10-29",2017,43,"2017-43"
60,"God's Own Country","UK","1599","Picture House Entertainment",-0.614140926640927,9,3,533,787868,"2017-10-29",2017,43,"2017-43"
61,"The Ballad of Shirley Collins","UK","1591","Lowlight",-0.851141467065868,2,2,795,13529,"2017-10-29",2017,43,"2017-43"
64,"The Shining (Re: 2017)","UK/USA","1448","Park Circus",NA,1,1,1448,1448,"2017-10-29",2017,43,"2017-43"
66,"Le Nozze Di Figaro - Glyndebourne 2012 (Opera)","UK","1353.00000000126","Trafalgar",NA,272,1,1353,104891,"2017-10-29",2017,43,"2017-43"
68,"Hellraiser: 30th Anniversary","UK","886","Arrow Films",-0.501687289088864,3,5,177,8505,"2017-10-29",2017,43,"2017-43"
71,"Howards End (Re: 2017)","UK","850","BFI",4.15151515151515,14,1,850,90454,"2017-10-29",2017,43,"2017-43"
72,"Daphne","UK","842","Altitude",-0.616226071103008,5,3,280,106131,"2017-10-29",2017,43,"2017-43"
74,"Dunkirk","UK/USA","649","Warner Bros",-0.955602681625393,15,2,324,56577969,"2017-10-29",2017,43,"2017-43"
77,"Thomas & Friends: Journey Beyond Sodor","UK","355.999999997612","National Amusements UK",-0.475738163623083,10,3,118,200363,"2017-10-29",2017,43,"2017-43"
79,"Black Sabbath: The End Of The End 2017 (Concert)","UK","326.000000001536","Trafalgar",NA,6,1,326,149357,"2017-10-29",2017,43,"2017-43"
80,"Coriolanus (2012)","UK","317.00000000119","Lionsgate",NA,302,1,317,970700,"2017-10-29",2017,43,"2017-43"
83,"Exhibition On Screen: Canaletto","UK","230","Seventh Art Production",NA,5,1,230,83977,"2017-10-29",2017,43,"2017-43"
86,"Yerma - NT Live 2017 (Theatre)","UK","161.999999998614","National Theatre/ Trafalgar Studios",-0.942857142857556,10,1,161,892854,"2017-10-29",2017,43,"2017-43"
89,"Tawai: A Voice from the Forest","UK/Bra/Ind/Mas","117","Munro Film",-0.958744710860367,5,1,117,51192,"2017-10-29",2017,43,"2017-43"
92,"Notorious","Ire","88.9999999974988","Universal",NA,1,1,88,88,"2017-10-29",2017,43,"2017-43"
97,"Brimstone","UK/USA/Bel/Ger/Fra/Nld/Swe","5.99999999769187","Thunderbird",-0.994897959185636,5,1,5,11263,"2017-10-29",2017,43,"2017-43"
1,"Murder on the Orient Express","UK/USA","4985600","20th Century Fox",NA,1,618,8067,4985600,"2017-11-05",2017,44,"2017-44"
2,"Thor: Ragnarok","USA","4617180","Disney",-0.627184603364752,2,609,7581,20789487,"2017-11-05",2017,44,"2017-44"
3,"A Bad Moms Christmas","USA","1781738","Entertainment",NA,1,476,3743,1781738,"2017-11-05",2017,44,"2017-44"
4,"Jigsaw","USA/Can","752137","Lionsgate",-0.59382894456883,2,459,1638,3680161,"2017-11-05",2017,44,"2017-44"
5,"The Death of Stalin","UK","520275","eOne Films",-0.362283045695234,3,376,1383,3599835,"2017-11-05",2017,44,"2017-44"
6,"The LEGO Ninjago Movie","USA/Den","470870","Warner Bros",-0.472266149920034,4,573,821,9071791,"2017-11-05",2017,44,"2017-44"
7,"My Little Pony","USA","387946","Lionsgate",-0.378077382431447,3,555,699,3233365,"2017-11-05",2017,44,"2017-44"
8,"Blade Runner 2049","USA","347024","Sony Pictures",-0.501998326715296,5,296,1172,18202599,"2017-11-05",2017,44,"2017-44"
10,"The Killing of a Sacred Deer","UK/USA","286448","Curzon/Artificial Eye",NA,1,100,2864,286448,"2017-11-05",2017,44,"2017-44"
11,"Geostorm","USA","261209","Warner Bros",-0.604050010459268,3,358,729,3989682,"2017-11-05",2017,44,"2017-44"
12,"Kingsman: The Golden Circle","UK/USA","178544","20th Century Fox",-0.522798464778644,7,219,815,24609800,"2017-11-05",2017,44,"2017-44"
13,"Happy Death Day","USA","170403.397924425","Universal",-0.608322134850537,3,285,597,2678427,"2017-11-05",2017,44,"2017-44"
14,"Breathe","UK","169937","STX Entertainment",-0.683093482918933,2,414,410,1276996,"2017-11-05",2017,44,"2017-44"
15,"Call Me by Your Name","Ita/Fra/USA/Bra","140191","Sony Pictures",-0.406990516315153,2,95,1475,568714,"2017-11-05",2017,44,"2017-44"
17,"Ittefaq","Ind","58107.2399999931","Yash Raj",NA,1,20,2905,58107,"2017-11-05",2017,44,"2017-44"
20,"The Party","UK","40102","Picture House Entertainment",-0.502493610897452,4,59,679,912280,"2017-11-05",2017,44,"2017-44"
24,"Victoria and Abdul","UK","31790","Universal",-0.532767971310572,8,90,353,9787393,"2017-11-05",2017,44,"2017-44"
25,"Loving Vincent","UK/Pol","30571","Altitude",-0.500326893530777,4,47,650,706338,"2017-11-05",2017,44,"2017-44"
26,"Goodbye Christopher Robin","UK","28343","20th Century Fox",-0.00947088837631928,6,63,449,2793497,"2017-11-05",2017,44,"2017-44"
28,"The Snowman","UK/Swe/Nor","27195.2749006586","Universal",-0.754588670025402,4,91,298,3260513,"2017-11-05",2017,44,"2017-44"
29,"The Son of Bigfoot","Bel/Fra","23212.8392827802","StudioCanal",NA,1,94,246,23212,"2017-11-05",2017,44,"2017-44"
30,"Ach Spij Kochanie (Lullaby Killer)","Pol","20945.1466555782","Tribe Releasing",NA,1,29,722,20945,"2017-11-05",2017,44,"2017-44"
31,"Thelma","Nor/Fra/Den/Swe","19085","Thunderbird",NA,1,7,2726,19085,"2017-11-05",2017,44,"2017-44"
